TOOLTIP_STORED_EXP	Experienta stocata: %s
GUILDVOTE_CHANGEMASTER_RESULT5	Noul sef al breslei: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Vrei sa cedezi breasla catre %s?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Vrei cu adevarat sa renunti la conducerea breslei?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Cedezi breasla catre %s.
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Votezi in favoarea cedarii a breslei?
GUILDVOTE_MEMBEROUT	Esclude membru
GUILDVOTE_MEMBEROUT_AUTH	Nu ai permisiunea pentru a continua.
GUILDVOTE_MEMBEROUT_NOMAL	Vrei cu adevarat sa excluzi acest membru?
GUILDVOTE_MEMBEROUT_RESULT1	Membru exclus: %s
GUILDVOTE_MEMBEROUT_RESULT2	Rezultatul sondajului
GUILDVOTE_MEMBEROUT_RESULT3	Te-au exclus din breasla %s.
GUILDVOTE_MEMBEROUT_RESULT4	Rezultatul sondajului
GUILDVOTE_MEMBEROUT_RESULT5	Sondajul este invalid.
GUILDVOTE_MEMBEROUT_TEXT1	Vrei sa incepi sondajul impotriva lui %s?
GUILDVOTE_MEMBEROUT_TEXT2	Sondaj: esclude acest membru din breasla?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Sondaj: %s trebuie sa fie exclus din breasla?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Contra
GUILDVOTE_OK	Pro
GUILDVOTE_RESULT_AGGRE_MEMBER	Pro: %d
GUILDVOTE_RESULT_ALL_MEMBER	Participanti: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Contra: %d
GUILDVOTE_RESULT_TIME	%d zile %d ore %d minute %d seconde
GUILDVOTE_SELECT_ONE	Alege un personaj.
GUILDWINDOW_BUTTON_BASEDEALVOTE	Sondaj
GUILDWINDOW_BUTTON_VOTECHECK	Controleaza sondaj
REFINE_FAILURE_CAN_NOT_ATTACH0	%s acest item nu poate fi introdus.
TASKBAR_ANTIEXP	Inel anti-EXP
TOOLTIP_FISHINGROD_UPGRADE4	Acum du-te la pescar pentru
TOOLTIP_FISHINGROD_UPGRADE5	a achizitiona noul tip
TOOLTIP_FISHINGROD_UPGRADE6	de undita!
TOOLTIP_FISHINGROD_UPGRADE7	Aceasta undita este top!
TOOLTIP_APPLY_ATTBONUS_METIN	Tare impotriva Metine %d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Tare impotriva Sefilor %d%%	SA
TOOLTIP_APPLY_RESIST_MONSTER	rezistenta la Monstrii %d%%	SA
INPUT_PIN_CODE_DIALOG_TITLE	Pincode
SELECT_WRONG_PIN_CODE	Pincode gresit!
SELECT_NOT_MATCH_PIN_CODE	Cele doua pin-uri nu coincid.
PIN_CODE_TOOLTIP_LINE1	Deja ai schimbat pincode-ul personajului tau?
PIN_CODE_TOOLTIP_LINE2	in caz contrar, pincode-ul tau este "0000".
PIN_CODE_TOOLTIP_LINE3	Vei putea edita pincode-ul daca doresti.
PIN_CODE_TOOLTIP_LINE4	Daca ai uitat pincode-ul va trebuii sa il recuperezi prin
PIN_CODE_TOOLTIP_LINE5	site-ul oficial.
OFFLINESHOP_TOOLTIP_RIGHT_CLICK_FOR_SALE	|Eemoji/key_rclick|e Vinde
OFFLINESHOP_CANT_SELECT_ITEM_DURING_BUILING	Nu poti face asta atunci când creezi un magazin.
OFFLINESHOP_CREATE_SHOP_NO_NAME_INSERTED	Trebuie sa introduci numele magazinului.
OFFLINESHOP_CREATE_SHOP_INVALID_DURATION	Trebuie sa alegi durata magazinului.
OFFLINESHOP_CREATE_SHOP_NO_ITEMS_INSERTED	Trebuie sa vinzi cel putin un obiect pentru a deschide magazinul.
OFFLINESHOP_ITEMS_COUNT_TEXT	( %d iteme)
OFFLINESHOP_BUILDING_LEFT_CLICK_EDIT_PRICE	|Eemoji/key_lclick|e Modifica pretul
OFFLINESHOP_BUILDING_LEFT_CLICK_CTRL_REMOVE_ITEM	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Scoate
OFFLINESHOP_DAY_TEXT	%d Zile
OFFLINESHOP_HOUR_TEXT	%d Ore
OFFLINESHOP_MINUTE_TEXT	%d Minute
OFFLINESHOP_OPEN_SHOP_LEFT_CLICK_BUY_ITEM	|Eemoji/key_lclick|e Cumpara
OFFLINESHOP_OPEN_SHOP_LEFT_CLICK_MAKE_OFFER	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Fa o oferta
OFFLINESHOP_BUY_ITEM_QUESTION_ACCEPT	Cumpara
OFFLINESHOP_BUY_ITEM_QUESTION_CANCEL	Anuleaza
OFFLINESHOP_BUY_ITEM_QUESTION_COUNT	Vrei sa cumperi %s x %d pentru %d Yang?
OFFLINESHOP_BUY_ITEM_QUESTION_COUNT2	Vrei sa cumperi %s x %d pentru %d Yang?
OFFLINESHOP_BUY_ITEM_QUESTION	Vrei sa cumperi %s pentru %d Yang?
OFFLINESHOP_BUY_ITEM_QUESTION2	Vrei sa cumperi %s pentru %d Yang?
OFFLINESHOP_EDIT_SHOPNAME_DESCRIPTION	Introdu noul nume:
OFFLINESHOP_EDIT_SHOPNAME_TITLE	Modifica numele
OFFLINESHOP_EDIT_SHOPNAME_TOOLTIP	Modifica numele
OFFLINESHOP_NAME_SUGGESTION_UNSELECT	Selecteaza item-ul..
OFFLINESHOP_TYPE_COMBOBOX_NOSET	Selecteaza tipul..
OFFLINESHOP_TYPE_COMBOBOX_WEAPON	Arme
OFFLINESHOP_TYPE_COMBOBOX_ARMOR	Echipamente
OFFLINESHOP_TYPE_COMBOBOX_METIN	Pietre
OFFLINESHOP_TYPE_COMBOBOX_FISH	Pesti
OFFLINESHOP_TYPE_COMBOBOX_SKILLBOOK	Carti
OFFLINESHOP_TYPE_COMBOBOX_BLEND	imbunatatiri
OFFLINESHOP_TYPE_COMBOBOX_DS	Alchimie
OFFLINESHOP_TYPE_COMBOBOX_RING	Inele
OFFLINESHOP_TYPE_COMBOBOX_BELT	Curele
OFFLINESHOP_TYPE_COMBOBOX_COSTUME	Costume
OFFLINESHOP_TYPE_COMBOBOX_METIN	Pietre
OFFLINESHOP_TYPE_COMBOBOX_GIFTBOX	Cufere
OFFLINESHOP_TYPE_COMBOBOX_REFINE	Item Upp
OFFLINESHOP_COMBOBOX_WEAPON_SWORD	Sabie
OFFLINESHOP_COMBOBOX_WEAPON_DAGGER	Pumnal
OFFLINESHOP_COMBOBOX_WEAPON_BOW	Arc
OFFLINESHOP_COMBOBOX_WEAPON_TWO_HANDED	Doua-mâini
OFFLINESHOP_COMBOBOX_WEAPON_BELL	Clopot
OFFLINESHOP_COMBOBOX_WEAPON_FAN	Evantai
OFFLINESHOP_COMBOBOX_WEAPON_CLAW	Gheara
OFFLINESHOP_COMBOBOX_ARMOR_BODY	Armura
OFFLINESHOP_COMBOBOX_ARMOR_HEAD	Coif
OFFLINESHOP_COMBOBOX_ARMOR_SHIELD	Scut
OFFLINESHOP_COMBOBOX_ARMOR_WRIST	Bratara
OFFLINESHOP_COMBOBOX_ARMOR_FOOTS	Papuci
OFFLINESHOP_COMBOBOX_ARMOR_NECK	Colier
OFFLINESHOP_COMBOBOX_ARMOR_EAR	Cercei
OFFLINESHOP_COMBOBOX_COSTUME_BODY	Costume armura
OFFLINESHOP_COMBOBOX_COSTUME_HAIR	Frizura
OFFLINESHOP_COMBOBOX_COSTUME_MOUNT	Mount
OFFLINESHOP_COMBOBOX_COSTUME_ACCE	Esarfa
OFFLINESHOP_COMBOBOX_COSTUME_WEAPON	Skin Arma
OFFLINESHOP_ATTR_UNSET	Selecteaza bonus..
OFFLINESHOP_ATTR_MAX_HP	Max PV
OFFLINESHOP_ATTR_MAX_SP	Max PM
OFFLINESHOP_ATTR_CON	VIT
OFFLINESHOP_ATTR_INT	INT
OFFLINESHOP_ATTR_STR	STR
OFFLINESHOP_ATTR_DEX	DEX
OFFLINESHOP_ATTR_ATT_SPEED	Viteza de Atac
OFFLINESHOP_ATTR_MOV_SPEED	Viteza de miscare
OFFLINESHOP_ATTR_CAST_SPEED	Viteza Farmecului
OFFLINESHOP_ATTR_HP_REGEN	Regenerare PV
OFFLINESHOP_ATTR_SP_REGEN	Regenerare PM
OFFLINESHOP_ATTR_APPLY_POISON_PCT	Poss. di avvelenamento
OFFLINESHOP_ATTR_APPLY_STUN_PCT	Sansa de blocare
OFFLINESHOP_ATTR_APPLY_SLOW_PCT	Sansa de incetinire
OFFLINESHOP_ATTR_APPLY_CRITICAL_PCT	Sansa de lov. critica
OFFLINESHOP_ATTR_APPLY_PENETRATE_PCT	Sansa la lov. patrunzatoare
OFFLINESHOP_ATTR_APPLY_ATTBONUS_WARRIOR	Forte contro Guerriero
OFFLINESHOP_ATTR_APPLY_ATTBONUS_ASSASSIN	Tare impotriva ninja
OFFLINESHOP_ATTR_APPLY_ATTBONUS_SURA	Tare impotriva sura
OFFLINESHOP_ATTR_APPLY_ATTBONUS_SHAMAN	Tare impotriva shaman
OFFLINESHOP_ATTR_APPLY_ATTBONUS_MONSTER	Tare impotriva monstrilor
OFFLINESHOP_ATTR_APPLY_ATTBONUS_HUMAN	Tare impotriva semi-oamenilor
OFFLINESHOP_ATTR_APPLY_ATTBONUS_ANIMAL	Tare impotriva animalelor
OFFLINESHOP_ATTR_APPLY_ATTBONUS_ORC	Tare impotriva orcilor
OFFLINESHOP_ATTR_APPLY_ATTBONUS_MILGYO	Tare impotriva esotericilor
OFFLINESHOP_ATTR_APPLY_ATTBONUS_UNDEAD	Puternic impotriva vampirilor
OFFLINESHOP_ATTR_APPLY_ATTBONUS_DEVIL	Tare impotriva diavolului
OFFLINESHOP_ATTR_APPLY_STEAL_HP	daune vor fi absorbite de PV
OFFLINESHOP_ATTR_APPLY_STEAL_SP	daune vor fi absorbite de PM
OFFLINESHOP_ATTR_APPLY_MANA_BURN_PCT	sansa de a jefui SP
OFFLINESHOP_ATTR_APPLY_DAMAGE_SP_RECOVER	pos de a primi PM la lov. reusite
OFFLINESHOP_ATTR_APPLY_BLOCK	Sansa de a bloca un atac corporal
OFFLINESHOP_ATTR_APPLY_DODGE	Sansa de a evita atacul cu sageti
OFFLINESHOP_ATTR_APPLY_RESIST_SWORD	Aparare cu sabia
OFFLINESHOP_ATTR_APPLY_RESIST_TWOHAND	Aparare cu doua mâini
OFFLINESHOP_ATTR_APPLY_RESIST_DAGGER	Aparare pumnal
OFFLINESHOP_ATTR_APPLY_RESIST_BELL	Aparare clopot
OFFLINESHOP_ATTR_APPLY_RESIST_FAN	Aparare evantai
OFFLINESHOP_ATTR_RESIST_BOW	Aparare Sageata
OFFLINESHOP_ATTR_RESIST_FIRE	rezistenta la Foc
OFFLINESHOP_ATTR_RESIST_ELEC	rezistenta la Fulger
OFFLINESHOP_ATTR_RESIST_MAGIC	rezistenta la Magie
OFFLINESHOP_ATTR_APPLY_RESIST_WIND	rezistenta la Vânt
OFFLINESHOP_ATTR_APPLY_REFLECT_MELEE	sansa de a reflecta lov. atacului corporal
OFFLINESHOP_ATTR_APPLY_REFLECT_CURSE	Sansa de a reflecta un blestem
OFFLINESHOP_ATTR_APPLY_POISON_REDUCE	RRezistenta la otrava
OFFLINESHOP_ATTR_APPLY_KILL_SP_RECOVER	Sansa de a reface PM
OFFLINESHOP_ATTR_APPLY_EXP_DOUBLE_BONUS	Sansa la bonus-EXP
OFFLINESHOP_ATTR_APPLY_GOLD_DOUBLE_BONUS	Sansa de a arunca de doua ori mai mult Yang
OFFLINESHOP_ATTR_APPLY_ITEM_DROP_BONUS	Sansa de a arunca de 2 ori mai multe obiecte
OFFLINESHOP_ATTR_APPLY_POTION_BONUS	crestere efect al licorii
OFFLINESHOP_ATTR_APPLY_KILL_HP_RECOVER	Sansa de a reface PV
OFFLINESHOP_ATTR_APPLY_IMMUNE_STUN	Aparare impotriva necunostintei
OFFLINESHOP_ATTR_APPLY_IMMUNE_SLOW	Aparare impotriva incetinirii
OFFLINESHOP_ATTR_APPLY_IMMUNE_FALL	Imun la cazatura
OFFLINESHOP_ATTR_BOW_DISTANCE	Autonomia arcului
OFFLINESHOP_ATTR_DEF_GRADE	Aparare
OFFLINESHOP_ATTR_ATT_GRADE	Valoarea atacului
OFFLINESHOP_ATTR_MAGIC_ATT_GRADE	Valoarea atacului magic
OFFLINESHOP_ATTR_MAGIC_DEF_GRADE	Aparare Magica
OFFLINESHOP_ATTR_MAX_STAMINA	rezistenta max.
OFFLINESHOP_ATTR_MALL_ATTBONUS	Atac
OFFLINESHOP_ATTR_MALL_DEFBONUS	Aparare
OFFLINESHOP_ATTR_MALL_EXPBONUS	EXP
OFFLINESHOP_ATTR_MALL_ITEMBONUS	Sansa de drop obiect a crescut cu 200%
OFFLINESHOP_ATTR_MALL_GOLDBONUS	Sansa de drop Yang a crescut
OFFLINESHOP_ATTR_SKILL_DAMAGE_BONUS	Paguba Abilitatii
OFFLINESHOP_ATTR_NORMAL_HIT_DAMAGE_BONUS	Paguba medie
OFFLINESHOP_ATTR_SKILL_DEFEND_BONUS	rezistenta la Paguba Abilitatii
OFFLINESHOP_ATTR_NORMAL_HIT_DEFEND_BONUS	Rezistenta medie la paguba
OFFLINESHOP_ATTR_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus
OFFLINESHOP_ATTR_MALL_ITEMBONUS_P_STATIC	iCafe Sansa de a aduna obiecte
OFFLINESHOP_ATTR_APPLY_RESIST_WARRIOR	rezistenta Razboinici
OFFLINESHOP_ATTR_APPLY_RESIST_ASSASSIN	rezistenta Ninja
OFFLINESHOP_ATTR_APPLY_RESIST_SURA	rezistenta Sura
OFFLINESHOP_ATTR_APPLY_RESIST_SHAMAN	rezistenta Samani
OFFLINESHOP_ATTR_APPLY_MAX_HP_PCT	Max PV %%
OFFLINESHOP_ATTR_APPLY_MAX_SP_PCT	Max PM %%
OFFLINESHOP_ATTR_ENERGY	Energie
OFFLINESHOP_ATTR_COSTUME_ATTR_BONUS	Bonus costum
OFFLINESHOP_ATTR_MAGIC_ATTBONUS_PER	Nefolosit
OFFLINESHOP_ATTR_MELEE_MAGIC_ATTBONUS_PER	Nefolosit
OFFLINESHOP_ATTR_RESIST_ICE	rezistenta la Gheata
OFFLINESHOP_ATTR_RESIST_EARTH	rezistenta la Pamânt
OFFLINESHOP_ATTR_RESIST_DARK	rezistenta la intuneric
OFFLINESHOP_ATTR_ANTI_CRITICAL_PCT	Anti-critic
OFFLINESHOP_ATTR_ANTI_PENETRATE_PCT	Anti-patrunzatoare
OFFLINESHOP_ATTR_APPLY_BLEEDING_PCT	Atac sangeros
OFFLINESHOP_ATTR_APPLY_BLEEDING_REDUCE	Rezistenta impotriva atacului sangeros
OFFLINESHOP_ATTR_APPLY_ATTBONUS_WOLFMAN	Puternic impotriva Lycanilor
OFFLINESHOP_ATTR_APPLY_RESIST_CLAW	Aparare Gheara
OFFLINESHOP_ATTR_APPLY_RESIST_WOLFMAN	rezistenta Lycan
OFFLINESHOP_ATTR_RESIST_MAGIC_REDUCTION	rezistenta Anti-Magie
OFFLINESHOP_ATTR_RES	rezistenta corporala
OFFLINESHOP_ATTR_HARDNESS_GRADE	Duritate
OFFLINESHOP_RARITY_ITEM_UNSET	Selectioneaza raritatea..
OFFLINESHOP_NO_FILTER_ACTIVE_MESSAGE	Nu ai activat nici un filtru de cautare.
OFFLINESHOP_SEARCH_FILTER_NAME_NOSET	Trebuie sa introduci un nume pentru a cauta prin filtru nume.
OFFLINESHOP_SEARCH_RARITY_ERROR	Trebuie sa selectionezi o raritate pentru a cauta prin filtru raritate.
OFFLINESHOP_SEARCH_PRICE_ERROR	Intervalul dintre nivele introdus este invalid.
OFFLINESHOP_SEARCH_PRICE_LEVEL	Intervalul dintre preturi introdus este invalid.
OFFLINESHOP_MY_PATTERN_INSERT_NAME_DESC	Introdu un nume pentru filtru.
OFFLINESHOP_MY_PATTERN_INSERT_NAME_TITLE	Salveaza Filtrul
OFFLINESHOP_PATTERN_SAVED_SUCCESS	Filtrul a fost introdus in filtrele salvate.
OFFLINESHOP_SAFEBOX_TOOLTIP_GETITEM	|Eemoji/key_lclick|e Retrage
OFFLINESHOP_SHOP_SAFEBOX_QUESTION_GET_ITEM_COUNT	Vrei sa retragi %s x %d din depozitul magazinului?
OFFLINESHOP_SHOP_SAFEBOX_QUESTION_GET_ITEM	Vrei sa retragi %s din depozitul magazinului?
OFFLINESHOP_SHOP_SAFEBOX_ACCEPT	Accepta
OFFLINESHOP_SAFEBOX_CANCEL	Anuleaza
OFFLINESHOP_SAFEBOX_GET_VALUTE_TITLE	Retrage
OFFLINESHOP_MAKE_OFFER_TITLE	Oferta Privata
OFFLINESHOP_CANCEL_OFFER_QUESTION_ACCEPT	Confirma
OFFLINESHOP_CANCEL_OFFER_QUESTION_CANCEL	Iesi
OFFLINESHOP_CANCEL_OFFER_QUESTION	Vrei sa anulezi oferta?
OFFLINESHOP_MY_OFFER_OFFER_TEXT	Oferta: %s
OFFLINESHOP_ACCEPT_OFFER_QUESTION	Vrei sa accepti oferta?
OFFLINESHOP_ACCEPT_OFFER_QUESTION_ACCEPT	Da
OFFLINESHOP_ACCEPT_OFFER_QUESTION_CANCEL	Nu
OFFLINESHOP_CREATE_AUCTION_INVALID_PRICE	Trebuie sa introduci o baza a licitatiei valida.
OFFLINESHOP_AUCTION_MIN_RAISE	Relansarea minima e de %s Yang.
OFFLINESHOP_AUCTION_MAKE_OFFER	Oferta licitatiei
OFFLINESHOP_SCRIPTFILE_CREATE_TEXT	Creeaza
OFFLINESHOP_SCRIPTFILE_CLOSE_SHOP_TEXT	inchide
OFFLINESHOP_SCRIPTFILE_CLOSE_AUCTION_TEXT	inchide
OFFLINESHOP_CANCEL_OFFER_QUESTION	Vrei sa anulezi oferta?
OFFLINESHOP_CANCEL_OFFER_QUESTION_ACCEPT	Da
OFFLINESHOP_CANCEL_OFFER_QUESTION_CANCEL	Nu
OFFLINESHOP_MYOFFERS_CANCEL_BUTTON_TEXT	Anuleaza
OFFLINESHOP_SCRIPTFILE_RESET_FILTER_TEXT	Reseteaza tot
OFFLINESHOP_SCRIPTFILE_START_SEARCH_TEXT	incepe cautarea
OFFLINESHOP_SCRIPTFILE_SAVE_AS_PATTERN_TEXT	Salveaza filtrul
OFFLINESHOP_WEAR_WARRIOR	Razboinic
OFFLINESHOP_WEAR_ASSASSIN	Ninja
OFFLINESHOP_WEAR_SURA	Sura
OFFLINESHOP_WEAR_SHAMAN	taman
OFFLINESHOP_WEAR_WOLFMAN	Lycan
OFFLINESHOP_TOOLTIP_WEAR_INFO	Purtabil : 
OFFLINESHOP_TOOLTIP_NAME_INFO	Nume : 
OFFLINESHOP_TOOLTIP_PRICE_INFO	Pret : 
OFFLINESHOP_TOOLTIP_LEVEL_INFO	Nivel : 
OFFLINESHOP_TOOLTIP_TYPE_INFO	Tip : 
OFFLINESHOP_TOOLTIP_ATTR_INFO	Bonus : 
OFFLINESHOP_TOOLTIP_RARITY_INFO	Rarite : 
OFFLINESHOP_SEARCH_RISE_LIMIT	A fost atinsa limia de iteme (%d iteme)
OFFLINESHOP_TOOLTIP_LEFT_CLICK_MAKE_OFFER	|Eemoji/key_lclick|e Fa o oferta
RARITY_ITEM_COMMON	Item Comun
RARITY_ITEM_EPIC	Item Epic
RARITY_ITEM_LEGENDARY	Item Legendar
RARITY_ITEM_ANTIQUE	Item Antic
RARITY_ITEM_MISTIC	Item Mistic
DUNGEON_INFO_TYPE0	Necunoscut
DUNGEON_INFO_TYPE1	Privat
DUNGEON_INFO_TYPE2	Global
DUNGEON_INFO_ORGANIZATION0	Nimic
DUNGEON_INFO_ORGANIZATION1	Grup
DUNGEON_INFO_ORGANIZATION2	Breasla
DUNGEON_INFO_NONE	Nimic
DUNGEON_INFO_DO_YOU_TELEPORT	Vrei sa te teleportezi %s?
DUNGEON_INFO_STATUS0	Accesibil
DUNGEON_INFO_STATUS1	in curs
DUNGEON_INFO_STATUS2	inchis
DUNGEON_LEVEL_LIMIT_MAX_PASS	Nivel prea mare!
DUNGEON_LEVEL_LIMIT_MIN_PASS	Nivel prea mic!
MAP_NAME_0	Necunoscut
MAP_NAME_27	Slime
MAP_NAME_66	Turnul Demonilor
MAP_NAME_208	Beran
MAP_NAME_209	Templul Ochao
MAP_NAME_210	Padurea Fermecata
MAP_NAME_212	Meley
MAP_NAME_216	Catacombele Diavolului
MAP_NAME_217	Regina
MAP_NAME_351	Razador
MAP_NAME_352	Nemere
MAP_NAME_353	Apararea Navei
MAP_NAME_355	Labirintul Orcilor
EMOTION_CALL	Striga
EMOTION_CHARGING	incarcare
EMOTION_CELEBRATION	Petrecere
EMOTION_ALCOHOL	Noroc!
EMOTION_HUNGRY	infometat
EMOTION_SELFIE	Selfie
EMOTION_EXERCISE	incalzit
EMOTION_DOZE	Atipit
EMOTION_DANCE_7	Samba
SOUL_ITEM_TOOLTIP_APPLY	Efectul este activat
SOUL_ITEM_TOOLTIP_BLUE1	Timp de joc: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Daune abilitate crescute cu x%.1f pentru timpul jucat
SOUL_ITEM_TOOLTIP_COMMON	Nu si pentru PvP, Transformare
SOUL_ITEM_TOOLTIP_RED1	Timp de joc: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Daune atac crescut cu x%.1f pentru timpul jucat
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Atacuri ramase: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Spiritul expira in
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efectul nu este activat
SOUL_REFINE_FAILURE	Rafinarea a esuat.
SOUL_REFINE_SUCCESS	Rafinare reusita!
EMPIRE_SELECT_MODE	Alege regat
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_SELECT_MODE	Alege caracter
TOOLTIP_APPLY_ATTBONUS_DESERT	Tare impotriva Monstrilor Desertului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Tare impotriva Insectelor +%d%%	SA
CHEQUE_SYSTEM_UNIT_YANG	Yang
ACCE_ABSORB_COST	Pret Absorbtie: %d
ACCE_ALREADY_REGISTER	Acest obiect a fost deja folosit.
ACCE_DEL_ABSORDITEM	Absorbi obiectul, distrugându-l inaces proces?
ACCE_DEL_SERVEITEM	Esarfa 2 va fi distrusa daca esueaza combinatia.
ACCE_DEL_SERVEITEM2	Esarfa 2 va fi distrusa daca va esua combinatia.
ACCE_INITEM	Trage obiectul in fereastra.
ACCE_MAXGRADE	Acesta a fost deja personalizat.
ACCE_MAX_DRAINRATE	Max. Rata de Absorbtie
ACCE_NOTABSORBITEM	Nu poti folosi o bucata de arma sau armura ce a fost deja absorbita.
ACCE_NOT_SEALITEM	Nu poti folosi niciun obiect personalizat.
ACCE_NOT_USINGITEM	Nu poti combina un obiect echipat.
ACCE_NOT_WINDOWOPEN	Nu poti folosi acest obiect daca fereastra folosita la combinatii este deschisa.
ACCE_POSSIBLE_ACCE	Poti folosi doar Esarfe.
ACCE_POSSIBLE_ACCEITEM	Poti extrage doar bonusurile din arme si armuri.
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greseala de atac necunoscuta: %s
ATTENDANCE_REWARD_QUESTION	doresti sa colectezi recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Nu poti folosi acest obiect in timp ce se adauga un bonus.
ATTR_6TH_7TH_ADD_QUESTION2	doresti sa adaugi un bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Nu poti schimba bonusul.
ATTR_6TH_7TH_DESC1	a. Trebuie sa adaugi materialele necesare obiectului pentru a adauga al 6lea si al 7lea bonus.
ATTR_6TH_7TH_DESC2	b. Fiecare marcasita creste rata de succes cu 2%.
ATTR_6TH_7TH_DESC3	c. Foloseste un aditiv pentru a creste rata de succes si mai mult.
ATTR_6TH_7TH_DESC4	d. Dureaza 24 de ore pentru a adauga un bonus. in acest timp, NPC va pastra obiectul pe care ar trebui adaugat bonusul. Imediat ce procesul este complet, il poti recupera.
ATTR_6TH_7TH_POSSIBILITY	Poti adauga un bonus aditional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Rata de succes: %.1f%%
AURA_DRAIN_PER	Rata absorbtie %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Yang insuficient pentru evoluare.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Obiectul transmis nu poate fi utilizat.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Obiectele echipate nu pot fi transmise.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nu poate fi evoluat.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Numarul de obiecte nu este suficient pentru evoluare.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nu poate fi imbunatatit.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Doar un Costum Aura, Colier, Cercel sau Banderola pot fi folosite.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Obiectele personalizate nu pot fi transmise.
AURA_ITEM_NEED_REGISTER	[Aura] Obiectul trebuie inserat.
AURA_LEVEL_STEP	Nivel %d (Stagiu %d)
AURA_MAX_LEVEL	[Aura] Costumul Aura a ajuns la nivelul maxim.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Obiectul transmis va fi distrus.
AURA_OPEN_OTHER_WINDOW	Nu poti face asta in timp ce este deschisa o ferestra pentru imbunatatire, evolutie sau transfer de statusuri.
AURA_POSSIBLE_AURAITEM	[Aura] Doar Costum Aura poate fi folosit.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Costum Aura trebuie inserat mai intâi.
AURA_TITLE_ABSORB	Transmite valorile in Costum Aura.
AURA_TITLE_EVOLUTION	Evolutie Costum Aura
AURA_TITLE_GROWTH	imbunatatire Costum Aura
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nivel %d (Stagiu %d) (Rata de absorbtie %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nou
AURA_TOOLTIP_NOW	Actual
AURA_TOOLTIP_RESOURCE	Consumabile
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Abilitati: Alege abilitatile de lupta si trage-le in locurile libere. (Premium)
AUTO_TOOLTIP_LINE2	Indiciu: Poti schimba intervalul de activare (in secunde) sub fiecare abilitate.
AUTO_TOOLTIP_LINE3	Licori: Alege licorile pentru lupta si trage-le in locurile libere. (Premium)
AUTO_TOOLTIP_LINE4	Indiciu: Licorile de PV si PM se vor activa de indata ce nivelul scade sub valoarea % aratata la fiecare licoare.
AUTO_TOOLTIP_LINE5	Nota: utilizarea automata a abilitatilor, licorilor si invierii poate fi activata in magazinul de obiecte.
AUTO_TOOLTIP_TITLE	Ajutor Atac-Automat
BATTLE_POINT	Puncte de Lupta
BEAD	Animasfera
BEAD_TIME_REMAINING_TO_GET	Animasfera incarcata in: %d min.
BNW_COIN	Moneda Profet
BUY_LIMIT_LEVEL	Limita cumparare: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poti schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poti schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poti deschide magazinul intr-un spatiu public.
